"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]"
1,1,29.0098,2291.47794,110.21193,1582.7458,0,3.16228
2,1,53.21168,5388.255,111.13968,1441.22367,0,3.16228
3,1,17.44361,5607.51386,106.93989,2739.73147,0,3.16228
4,1,259.72726,2478.75418,111.2784,2139.00895,0,3.16228
5,1,367.21109,626.5806,113.0147,2553.59016,0,3.16228
6,1,337.90564,2052.48454,114.17093,1834.18914,0,3.16228
7,1,371.90544,4273.55719,108.71484,2913.48114,0,3.16228
8,1,339.81629,4389.11062,113.80265,1095.52988,0,3.16228
9,1,326.24941,4701.05176,107.27375,1231.10055,0,3.16228
10,1,406.70691,656.85718,113.46878,1225.77715,0,3.16228
11,1,438.64014,4313.97365,107.47338,2532.19602,0,3.16228
12,1,473.5424,4535.5341,113.93931,1318.25019,0,3.16228
13,1,496.60442,5615.41455,110.64017,2871.08612,0,3.16228
14,1,513.08505,161.66153,113.81556,2199.07109,0,3.16228
15,1,518.36416,3032.50528,107.26805,2370.49009,0,3.16228
16,1,562.63777,4089.91644,107.72631,1868.50643,0,3.16228
17,1,608.67052,431.54285,111.71884,1619.39948,0,3.16228
18,1,660.37927,499.60681,107.38335,2402.43766,0,3.16228
19,1,697.48991,3021.56856,108.05058,1971.93774,0,3.16228
20,1,670.96788,3912.80608,110.46592,2685.68231,0,3.16228
21,1,647.95982,6253.91231,106.68033,2420.85521,0,3.16228
22,1,652.33383,6389.46987,107.90104,2613.86776,0,3.16228
23,1,759.15352,2106.02474,113.90179,1394.0969,0,3.16228
24,1,783.88723,4297.308,107.3272,2831.16903,0,3.16228
25,1,780.77298,5574.68965,114.22694,1403.64839,0,3.16228
26,1,884.77417,1406.21147,113.73046,1610.22882,0,3.16228
27,1,863.89437,2044.66607,107.08125,2352.52277,0,3.16228
28,1,889.98392,2692.66484,111.77549,2897.9648,0,3.16228
29,1,881.55774,3381.22739,109.50155,2113.43824,0,3.16228
30,1,815.53284,6213.74176,112.77907,2697.94752,0,3.16228
31,1,983.14531,466.60614,106.71287,1899.3591,0,3.16228
32,1,987.48901,1166.91616,108.67935,2347.52277,0,3.16228
33,1,927.14616,2211.11246,108.02226,2339.46781,0,3.16228
34,1,983.09363,6023.84271,113.25224,2654.22351,0,3.16228
35,1,1029.08183,755.3159,106.61168,2589.92253,0,3.16228
36,1,1017.27742,1655.03469,112.9592,1175.52154,0,3.16228
