"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]"
1,1,67.843,2484.15594,111.28713,2458.46515,50,4.47214
2,1,28.94544,3531.11794,107.34945,2253.50657,50,4.47214
3,1,87.45854,4329.21569,111.2671,2029.5285,50,4.47214
4,1,54.11008,4808.85786,106.47063,2350.45274,50,4.47214
5,1,189.94454,2309.36645,108.76691,2239.94901,50,4.47214
6,1,165.22607,2858.34071,108.49093,2433.40373,50,4.47214
7,1,188.10747,5669.84823,108.79693,2457.64309,50,4.47214
8,1,136.6139,6276.65788,112.69399,2382.54239,50,4.47214
9,1,183.13407,6313.37816,110.47683,2356.33763,50,4.47214
10,1,260.37908,1159.78059,107.17186,2420.54101,50,4.47214
11,1,211.06747,3666.90256,110.01733,2232.71804,50,4.47214
12,1,267.68745,5771.40873,109.27422,2446.1685,50,4.47214
13,1,351.83845,2589.17059,109.75748,2012.17594,50,4.47214
14,1,383.12317,4748.60554,111.00617,2188.79206,50,4.47214
15,1,444.00961,500.00913,114.0813,2475.16181,50,4.47214
16,1,422.05789,1964.79254,110.52847,2212.06203,50,4.47214
17,1,469.00617,1973.12127,112.32442,2244.26259,50,4.47214
18,1,453.87335,2727.82571,109.95714,2280.15412,50,4.47214
19,1,467.31904,5542.40076,109.21336,2067.50719,50,4.47214
20,1,533.87723,2673.06048,112.44152,2499.3071,50,4.47214
21,1,501.74304,3865.89375,110.18946,2464.73512,50,4.47214
22,1,560.08086,4048.02423,112.74123,2291.4807,50,4.47214
23,1,615.01837,358.30965,111.34773,2355.99574,50,4.47214
24,1,621.9783,2279.0468,107.58922,2111.04377,50,4.47214
25,1,632.5357,3077.68934,109.29978,2124.88429,50,4.47214
26,1,613.73131,3292.82235,107.59284,2056.86655,50,4.47214
27,1,699.4238,4345.69478,110.58009,2386.67055,50,4.47214
28,1,672.2314,6021.78364,109.09071,2068.18225,50,4.47214
29,1,725.22644,163.8214,113.99665,2255.59946,50,4.47214
30,1,781.06205,5176.81882,111.3991,2453.86463,50,4.47214
31,1,751.83316,5201.39753,113.23617,2329.30929,50,4.47214
32,1,789.1192,5280.14463,111.91703,2350.78581,50,4.47214
33,1,880.92817,637.20086,112.44582,2280.33367,50,4.47214
34,1,867.39648,1699.07781,113.75427,2236.75859,50,4.47214
35,1,805.27673,1912.33775,110.57175,2307.16204,50,4.47214
36,1,819.8754,3273.36991,109.52062,2171.69543,50,4.47214
37,1,880.55454,5150.80309,113.35205,2143.43527,50,4.47214
38,1,961.11654,1946.72127,112.72283,2280.90212,50,4.47214
39,1,921.28236,3993.51133,112.51204,2289.07928,50,4.47214
40,1,993.06437,5383.36395,106.62186,2085.39136,50,4.47214
41,1,1019.79927,92.91686,114.55572,2492.28073,50,4.47214
42,1,1023.66289,234.30404,111.79902,2421.96372,50,4.47214
43,1,1034.18465,786.1202,107.82932,2177.92954,50,4.47214
44,1,1017.90421,5182.23737,112.98559,2276.43695,50,4.47214
45,1,1032.7994,5390.63685,111.74009,2275.6715,50,4.47214
46,1,1071.24392,6104.11549,110.27853,2212.65336,50,4.47214
47,1,1149.25561,1413.40094,112.30187,2203.25414,50,4.47214
48,1,1204.58192,2890.33001,109.59243,2490.57347,50,4.47214
49,1,1262.59187,2805.86441,111.20987,2288.34678,50,4.47214
50,1,1249.7334,3714.55898,108.0799,2097.21955,50,4.47214
51,1,1204.96015,4570.48235,114.2238,2121.03185,50,4.47214
52,1,1203.28746,4556.61019,112.20608,2169.68138,50,4.47214
53,1,1215.04493,4656.0661,109.86691,2038.72123,50,4.47214
54,1,1345.13485,2138.57614,106.29364,2012.26372,50,4.47214
55,1,1300.87407,3965.86014,107.86282,2375.20274,50,4.47214
56,1,1317.62875,4685.91923,111.29578,2180.29243,50,4.47214
57,1,1441.0405,124.89794,111.43117,2060.38959,50,4.47214
58,1,1413.81062,1602.95427,112.20043,2420.20221,50,4.47214
59,1,1431.17065,1981.03152,110.13885,2376.82558,50,4.47214
60,1,1434.5572,2517.65198,113.82228,2111.94319,50,4.47214
61,1,1497.23116,2761.64011,110.71879,2083.54578,50,4.47214
62,1,1418.37642,3743.70715,108.2567,2045.53767,50,4.47214
63,1,1436.55844,3973.85487,111.99309,2471.18921,50,4.47214
64,1,1488.48711,4235.45997,111.06085,2237.15192,50,4.47214
65,1,1407.71728,4521.78791,108.26893,2040.49346,50,4.47214
66,1,1418.0445,4748.16856,109.82133,2050.88074,50,4.47214
67,1,1400.45059,6224.57466,111.16463,2382.21355,50,4.47214
68,1,1593.87354,710.92947,108.95072,2271.61162,50,4.47214
69,1,1606.13165,1227.86644,108.381,2487.47656,50,4.47214
70,1,1633.56573,1979.20155,107.37223,2012.01417,50,4.47214
71,1,1698.65721,2995.07263,113.92003,2231.1852,50,4.47214
72,1,1645.37013,3772.28531,109.38471,2241.202,50,4.47214
73,1,1645.46128,3921.93413,113.79491,2205.95886,50,4.47214
74,1,1759.31307,2962.89351,111.77307,2121.11304,50,4.47214
75,1,1743.30188,3990.69677,108.52706,2032.31758,50,4.47214
76,1,1752.61729,5667.68639,111.49666,2336.1261,50,4.47214
77,1,1826.32684,479.12142,107.87588,2260.46768,50,4.47214
78,1,1992.62078,722.48634,107.02507,2022.8875,50,4.47214
79,1,1940.83005,3186.33701,107.2946,2223.07243,50,4.47214
80,1,1935.38341,4980.19301,111.72718,2094.28772,50,4.47214
81,1,2077.30544,1022.20137,113.9694,2320.71315,50,4.47214
82,1,2011.40405,2212.59917,112.44878,2459.44229,50,4.47214
83,1,2000.72865,2361.63517,109.60721,2293.04365,50,4.47214
84,1,2048.22245,3319.01385,113.57586,2165.49642,50,4.47214
85,1,2023.31764,5261.6588,106.53871,2064.751,50,4.47214
86,1,2021.61119,5790.93666,112.96235,2153.32667,50,4.47214
87,1,2183.99171,1216.09709,106.37209,2396.17673,50,4.47214
88,1,2165.8584,1235.13384,113.15136,2037.40175,50,4.47214
89,1,2148.86458,1381.04566,107.43238,2262.95268,50,4.47214
90,1,2188.04723,1900.97951,111.03562,2039.73908,50,4.47214
91,1,2225.5939,287.03563,106.28724,2389.76896,50,4.47214
92,1,2249.81398,3429.84461,112.05703,2156.4784,50,4.47214
93,1,2206.57938,3733.63258,108.94179,2010.24041,50,4.47214
94,1,2256.11906,4192.80922,108.28487,2111.97705,50,4.47214
95,1,2220.90335,4684.78797,109.23585,2166.64674,50,4.47214
96,1,2239.26236,5482.75999,107.38253,2332.0314,50,4.47214
97,1,2209.88045,5811.14819,106.50734,2411.15412,50,4.47214
98,1,2327.09431,857.61979,111.33291,2154.12454,50,4.47214
99,1,2342.68277,4465.67393,106.18364,2052.69403,50,4.47214
100,1,2304.45118,4696.033,106.41973,2079.63452,50,4.47214
101,1,2354.58464,4656.32264,113.08702,2136.18144,50,4.47214
102,1,2443.39776,532.72047,112.36443,2316.61686,50,4.47214
103,1,2497.79086,812.42535,111.83933,2387.0547,50,4.47214
104,1,2474.90643,1458.36863,107.44587,2170.0884,50,4.47214
105,1,2427.00128,2011.62528,107.87379,2318.03855,50,4.47214
106,1,2474.15154,2250.4749,113.74939,2148.6066,50,4.47214
107,1,2424.92312,2554.94174,113.66967,2101.1137,50,4.47214
108,1,2465.12547,4176.75273,112.21369,2496.34502,50,4.47214
109,1,2457.22894,4515.07092,110.09804,2088.81674,50,4.47214
110,1,2400.61372,4872.83421,111.66911,2353.28481,50,4.47214
111,1,2475.6959,5193.25329,113.80221,2345.94414,50,4.47214
112,1,2451.83038,5825.6663,110.21905,2242.4841,50,4.47214
113,1,2490.80061,6226.77488,113.70252,2480.51151,50,4.47214
114,1,2524.33946,191.86948,109.08492,2343.53121,50,4.47214
115,1,2520.36926,1626.45829,109.14177,2196.80388,50,4.47214
116,1,2592.92308,2683.04537,112.74027,2130.4445,50,4.47214
117,1,2508.06676,4140.06579,107.16169,2013.19323,50,4.47214
118,1,2663.46114,1498.92512,113.93498,2028.14666,50,4.47214
119,1,2675.01826,3849.83644,114.42618,2187.47878,50,4.47214
120,1,2726.92461,1781.99945,108.74926,2219.48414,50,4.47214
121,1,2785.96943,1950.15897,113.73567,2031.64614,50,4.47214
122,1,2772.58163,6238.55197,111.08212,2470.96249,50,4.47214
123,1,2864.66102,4231.69983,108.68997,2346.84194,50,4.47214
124,1,2854.72627,5508.89761,114.45727,2204.32335,50,4.47214
